"","percent.FFPE","signature","sens","spec","acc"
"248","90%","SBS13",0.965018148637715,0.96648285919776,NA
"249","90%","SBS14",0.878067685589984,0.988752774589188,NA
"250","90%","SBS15",0.493022480882453,0.975116547469667,NA
"251","90%","SBS16",0.911788750000332,0.962275533327729,NA
"252","90%","SBS17a",0.978347671705798,0.99140842963874,NA
"253","90%","SBS17b",0.993333333333333,0.988468334162515,NA
"254","90%","SBS18",0.82901738550264,0.988576955585165,NA
"255","90%","SBS19",0.231220403552454,0.954439395338509,NA
"256","90%","SBS2",0.456594471786832,0.918162413428372,NA
"257","90%","SBS20",0.69459431806181,0.971391203377811,NA
"258","90%","SBS21",0.94360981307187,0.972229230228918,NA
"259","90%","SBS22",0.99,0.989740739388682,NA
"260","90%","SBS23",0.161381407092129,0.973521919386707,NA
"261","90%","SBS24",0.832769880001767,0.987990413185806,NA
"262","90%","SBS25",0.787942631492729,0.988630314494086,NA
"263","90%","SBS26",0.938389478345732,0.990614350988259,NA
"264","90%","SBS28",0.950241096225049,0.98848782988882,NA
"265","90%","SBS29",0.92015011958606,0.986445133768649,NA
"266","90%","SBS3",0.863496850921884,0.969681800253762,NA
"267","90%","SBS30",0.111079111929354,0.962870795774579,NA
"268","90%","SBS31",0.656007842176956,0.970868890796456,NA
"269","90%","SBS32",0.331592214812476,0.943096570987694,NA
"270","90%","SBS33",0.911739549619977,0.989045022692481,NA
"271","90%","SBS34",0.978783439797541,0.989079922927553,NA
"272","90%","SBS35",0.852547789004397,0.968891275561326,NA
"273","90%","SBS36",0.903456653395759,0.990212723723919,NA
"274","90%","SBS37",0.926903542537181,0.989251997357277,NA
"275","90%","SBS38",0.968476239050881,0.990668212425254,NA
"276","90%","SBS39",0.881827667777263,0.989486326554754,NA
"277","90%","SBS4",0.906854010272937,0.974160530466934,NA
"278","90%","SBS40",0.818707856460338,0.974818490144639,NA
"279","90%","SBS41",0.91277669235542,0.990272916108307,NA
"280","90%","SBS42",0.531745418892493,0.969534980475354,NA
"281","90%","SBS44",0.58005406577363,0.989191223823511,NA
"282","90%","SBS5",0.728755086928879,0.989501004636356,NA
"283","90%","SBS6",0.238697389900554,0.973437241105595,NA
"284","90%","SBS7a",0.243129674004035,0.945444780235663,NA
"285","90%","SBS7b",0.232446612560247,0.964246997353818,NA
"286","90%","SBS7c",0.893441088031354,0.982796493475731,NA
"287","90%","SBS7d",0.838377311601972,0.971268852000999,NA
"288","90%","SBS8",0.94851233359154,0.959140007732405,NA
"289","90%","SBS84",0.42059639730536,0.970312690901127,NA
"290","90%","SBS85",0.954352259567337,0.952305082524728,NA
"291","90%","SBS86",0.892299345971835,0.98830597585073,NA
"292","90%","SBS87",0.690164873395229,0.981506396326576,NA
"293","90%","SBS88",0.968693615555466,0.987680875013168,NA
"294","90%","SBS89",0.826434402390907,0.952458320156427,NA
"295","90%","SBS9",0.91,0.98747011615343,NA
"296","90%","SBS90",0.995004728259522,0.948915420432556,NA
"297","90%","SBS91",0.885808879732804,0.952663892806734,NA
"298","90%","SBS92",0.719004097042903,0.971037006604783,NA
"299","90%","SBS93",0.898872213421678,0.986496170238929,NA
"300","90%","SBS94",0.813569955695954,0.986609415380814,NA
